"","Area","Records","Observed.richness","Richness","Slope","Completeness","Ratio","City","holc_grade","ratio_n_obs_sp_richness"
"2","A10",97,36,60.5836435810584,0.175257731958766,59.4219790558379,2.69444444444444,"Akron","A",2.69
"7","A5",219,74,148.289698759616,0.205479452054789,49.902319998611,2.95945945945946,"Akron","A",2.96
"8","A6",23,16,103.395650789925,0.608695652173912,15.4745387042518,1.4375,"Akron","A",1.44
"9","A7",186,93,218.445093984365,0.317204301075265,42.5736272230753,2,"Akron","A",2
"13","B11",20,17,119.034401477487,0.75,14.2815856500234,1.17647058823529,"Akron","B",1.18
"15","B13",18,17,280.335740280869,0.888888888888889,6.06415720769948,1.05882352941176,"Akron","B",1.06
"16","B14",28,20,71.380045466135,0.535714285714285,28.0190351090329,1.4,"Akron","B",1.4
"17","B15",2,2,NA,NA,NA,1,"Akron","B",1
"18","B17",26,9,18.781380094745,0.192307692307692,47.9198011786054,2.88888888888889,"Akron","B",2.89
"19","B18",39,16,29.4896603935016,0.230769230769232,54.2563047064652,2.4375,"Akron","B",2.44
"20","B19",131,57,97.9094845467033,0.190839694656489,58.2170361368931,2.29824561403509,"Akron","B",2.3
"22","B3",31,20,51.112769013343,0.387096774193548,39.1291655413523,1.55,"Akron","B",1.55
"23","B4",153,59,115.324515741426,0.228758169934636,51.159980703744,2.59322033898305,"Akron","B",2.59
"24","B5",10,6,11.4437974999832,0.2,52.4301482965671,1.66666666666667,"Akron","B",1.67
"25","B6",39,21,42.9009565359138,0.307692307692307,48.9499575199919,1.85714285714286,"Akron","B",1.86
"26","B7",54,30,67.7851248718802,0.296296296296298,44.2574975803358,1.8,"Akron","B",1.8
"27","B8",59,30,65.780873162101,0.322033898305083,45.605961973281,1.96666666666667,"Akron","B",1.97
"28","B9",60,31,79.8918740229317,0.350000000000001,38.802444402671,1.93548387096774,"Akron","B",1.94
"31","C11",56,26,45.8427939474209,0.196428571428569,56.7155658745856,2.15384615384615,"Akron","C",2.15
"33","C13",87,40,84.6810937976249,0.287356321839077,47.2360455045538,2.175,"Akron","C",2.17
"36","C16",46,23,41.4363120545911,0.173913043478262,55.5068703259552,2,"Akron","C",2
"37","C18",3,2,NA,NA,NA,1.5,"Akron","C",1.5
"38","C19",27,15,29.788427995539,0.25925925925926,50.355124487423,1.8,"Akron","C",1.8
"39","C2",39,19,34.0809402166926,0.23076923076923,55.7496356590947,2.05263157894737,"Akron","C",2.05
"42","C22",15,11,47.9966843426951,0.6,22.9182497721307,1.36363636363636,"Akron","C",1.36
"47","C5",46,18,28.4928509107394,0.173913043478262,63.1737415690317,2.55555555555556,"Akron","C",2.56
"51","C9",6,4,8.31648052908751,0.333333333333333,48.0972688628285,1.5,"Akron","C",1.5
"53","D10",9,9,NA,NA,NA,1,"Akron","D",1
"54","D10",44,27,72.5006643799375,0.40909090909091,37.241038038641,1.62962962962963,"Akron","D",1.63
"55","D11",44,31,94.9873021731111,0.454545454545453,32.6359411108482,1.41935483870968,"Akron","D",1.42
"56","D12",11,10,94.8616533585581,0.818181818181818,10.5416674134932,1.1,"Akron","D",1.1
"57","D13",3,3,NA,NA,NA,1,"Akron","D",1
"59","D3",11,10,94.8616533585581,0.818181818181818,10.5416674134932,1.1,"Akron","D",1.1
"60","D4",60,28,47.2364519860274,0.183333333333334,59.2762555669558,2.14285714285714,"Akron","D",2.14
"61","D5",135,47,74.1931352320407,0.140740740740739,63.3481788483617,2.87234042553191,"Akron","D",2.87
"63","D8",2,2,NA,NA,NA,1,"Akron","D",1
"64","D9",8,7,45.3854722980917,0.75,15.4234376014069,1.14285714285714,"Akron","D",1.14
"77","C1",11,9,40.7220041241225,0.636363636363637,22.1010733473912,1.22222222222222,"Albany","C",1.22
"78","C2",120,54,114.973144295792,0.258333333333333,46.9674899566755,2.22222222222222,"Albany","C",2.22
"82","C7",16,13,59.020517941564,0.625,22.0262384224944,1.23076923076923,"Albany","C",1.23
"86","D4",26,21,125.013838065525,0.692307692307693,16.7981403698629,1.23809523809524,"Albany","D",1.24
"88","D6",11,10,94.8616533585581,0.818181818181818,10.5416674134932,1.1,"Albany","D",1.1
"89","A1",8,8,NA,NA,NA,1,"Altoona","A",1
"90","A2",21,21,NA,NA,NA,1,"Altoona","A",1
"91","B10",25,12,21.4603470241519,0.199999999999999,55.9170827316771,2.08333333333333,"Altoona","B",2.08
"92","B13",4,2,NA,NA,NA,2,"Altoona","B",2
"93","B2",22,20,200.156020747606,0.818181818181817,9.99220504349443,1.1,"Altoona","B",1.1
"95","B6",22,19,148.23991229263,0.772727272727273,12.817061010191,1.15789473684211,"Altoona","B",1.16
"96","B7",3,3,NA,NA,NA,1,"Altoona","B",1
"97","B9",10,7,18.095580915272,0.4,38.6834776555433,1.42857142857143,"Altoona","B",1.43
"98","C1",20,15,50.6500370758201,0.5,29.6149832576546,1.33333333333333,"Altoona","C",1.33
"100","C6",52,26,47.0832497957086,0.192307692307693,55.2213369145342,2,"Altoona","C",2
"102","C8",36,22,58.8701214369067,0.416666666666668,37.3704002353354,1.63636363636364,"Altoona","C",1.64
"103","C9",19,13,33.9832891194049,0.368421052631579,38.254095871423,1.46153846153846,"Altoona","C",1.46
"105","D5",3,3,NA,NA,NA,1,"Altoona","D",1
"108","A",122,45,79.3724747155943,0.172131147540981,56.6947171059527,2.71111111111111,"Amarillo","A",2.71
"110","B",42,21,37.7423972410471,0.166666666666668,55.6403449041155,2,"Amarillo","B",2
"111","C",3,3,NA,NA,NA,1,"Amarillo","C",1
"113","C",4,4,NA,NA,NA,1,"Amarillo","C",1
"114","D",3,3,NA,NA,NA,1,"Amarillo","D",1
"115","D",129,56,103.683507658355,0.248062015503876,54.0105184177642,2.30357142857143,"Amarillo","D",2.3
"116","D",10,10,NA,NA,NA,1,"Amarillo","D",1
