"","id","ebird","iNaturalist","other"
"1","OH_Akron_A1_A_6999",160,32,75
"2","OH_Akron_A10_A_7000",36,3,57
"3","OH_Akron_A11_A_7001",5803,0,0
"4","OH_Akron_A2_A_7002",2091,22,0
"5","OH_Akron_A3_A_7003",460,12,0
"6","OH_Akron_A4_A_7004",6311,9,0
"7","OH_Akron_A5_A_7005",185,22,0
"8","OH_Akron_A6_A_7006",0,10,0
"9","OH_Akron_A7_A_7007",52,51,0
"10","OH_Akron_A8_A_7008",158,10,133
"11","OH_Akron_A9_A_7009",1,0,0
"12","OH_Akron_B1_B_7010",87,5,0
"13","OH_Akron_B10_B_7011",320,5,0
"14","OH_Akron_B11_B_7012",13,7,0
"15","OH_Akron_B12_B_7013",130,11,254
"16","OH_Akron_B13_B_7014",13,2,0
"17","OH_Akron_B14_B_7015",15,11,0
"18","OH_Akron_B15_B_7016",2,0,0
"19","OH_Akron_B17_B_7018",24,2,0
"20","OH_Akron_B18_B_7019",31,5,0
"21","OH_Akron_B19_B_7020",124,7,0
"22","OH_Akron_B2_B_7021",421,12,0
"23","OH_Akron_B3_B_7022",28,2,0
"24","OH_Akron_B4_B_7023",91,7,0
"25","OH_Akron_B5_B_7024",9,0,0
"26","OH_Akron_B6_B_7025",35,4,0
"27","OH_Akron_B7_B_7026",45,7,0
"28","OH_Akron_B8_B_7027",53,6,0
"29","OH_Akron_B9_B_7028",36,22,0
"30","OH_Akron_C1_C_7029",112,38,229
"31","OH_Akron_C10_C_7030",375,13,0
"32","OH_Akron_C11_C_7031",53,3,0
"33","OH_Akron_C12_C_7032",1129,32,0
"34","OH_Akron_C13_C_7033",65,11,4
"35","OH_Akron_C14_C_7034",292,11,1
"36","OH_Akron_C15_C_7035",1574,28,99
"37","OH_Akron_C16_C_7036",41,3,0
"38","OH_Akron_C17_C_7037",0,1,0
"39","OH_Akron_C18_C_7038",0,3,0
"40","OH_Akron_C19_C_7039",22,3,0
"41","OH_Akron_C2_C_7040",19,19,0
"42","OH_Akron_C20_C_7041",8407,858,150
"43","OH_Akron_C21_C_7042",562,64,0
"44","OH_Akron_C22_C_7043",15,0,0
"45","OH_Akron_C23_C_7044",624,3,0
"46","OH_Akron_C24_C_7045",239,0,0
"47","OH_Akron_C3_C_7046",3131,457,462
"48","OH_Akron_C4_C_7047",247,3,0
"49","OH_Akron_C5_C_7048",41,5,0
"50","OH_Akron_C6_C_7049",1082,26,149
"51","OH_Akron_C7_C_7050",388,100,15
